dataset,ticker,date,adjClose,previous_adjClose,simple_return,absolute_return,threshold,treatment
crypto_prices,XLM-USD,2021-01-06,0.34079301357269287,0.1948229968547821,0.7492442836546367,0.7492442836546367,0.2,retained; no internal price-rule failure
crypto_prices,EOS-USD,2021-05-05,8.784547805786133,6.367040157318115,0.37969096923150314,0.37969096923150314,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2021-02-13,16.592817306518555,12.028255462646484,0.37948660618717556,0.37948660618717556,0.2,retained; no internal price-rule failure
crypto_prices,BTC-USD,2020-03-12,4970.7880859375,7911.43017578125,-0.37169538560117077,0.37169538560117077,0.2,retained; no internal price-rule failure
crypto_prices,LTC-USD,2020-03-12,30.930883407592773,48.463783264160156,-0.3617732392248725,0.3617732392248725,0.2,retained; no internal price-rule failure
crypto_prices,BCH-USD,2023-06-23,181.7744598388672,133.963623046875,0.3568941754827186,0.3568941754827186,0.2,retained; no internal price-rule failure
crypto_prices,LTC-USD,2021-05-19,189.52017211914062,294.61932373046875,-0.3567286431879725,0.3567286431879725,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2021-05-05,94.26644134521484,69.49090576171875,0.35652917906193804,0.35652917906193804,0.2,retained; no internal price-rule failure
crypto_prices,BCH-USD,2021-05-19,706.7958374023438,1091.5501708984375,-0.3524843326069095,0.3524843326069095,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2021-04-10,1.3744159936904907,1.0208369493484497,0.346361918588187,0.346361918588187,0.2,retained; no internal price-rule failure
crypto_prices,BCH-USD,2021-05-24,748.4216918945312,556.1397705078125,0.34574387875757506,0.34574387875757506,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2021-04-16,38.53741455078125,28.652196884155273,0.34500732026215153,0.34500732026215153,0.2,retained; no internal price-rule failure
crypto_prices,XLM-USD,2020-03-12,0.03344099968671799,0.05038699880242348,-0.33631689758212857,0.33631689758212857,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2021-05-04,69.49090576171875,52.05988693237305,0.3348262905754864,0.3348262905754864,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2020-03-12,0.13963499665260315,0.2080959975719452,-0.3289875909106468,0.3289875909106468,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2021-05-19,1.0703129768371582,1.5907340049743652,-0.3271577941439642,0.3271577941439642,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2021-04-26,1.3685059547424316,1.032256007194519,0.3257427859022859,0.3257427859022859,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2022-07-18,25.419828414916992,19.183923721313477,0.32505887659860644,0.32505887659860644,0.2,retained; no internal price-rule failure
crypto_prices,ADA-USD,2021-02-10,0.9303179979324341,0.7035160064697266,0.32238355542300967,0.32238355542300967,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2021-05-19,60.121788024902344,88.67708587646484,-0.32201439153450073,0.32201439153450073,0.2,retained; no internal price-rule failure
crypto_prices,TRX-USD,2021-05-19,0.07933200150728226,0.11638599634170532,-0.31837159107727875,0.31837159107727875,0.2,retained; no internal price-rule failure
