experiment_id,fund_id,fund_name,asset_family,method,method_label,rebalance_schedule,schedule_label,schedule_role,interval_observations,first_live_date,last_live_date,estimation_window,eligible_asset_count,annualization_days,risk_free_rate_annual,transaction_cost_bps,gross_observation_count,gross_ending_growth_of_1,gross_cumulative_return,gross_annualized_return,gross_annualized_arithmetic_return,gross_annualized_volatility,gross_sharpe_ratio,gross_maximum_drawdown,gross_positive_return_share,net_observation_count,net_ending_growth_of_1,net_cumulative_return,net_annualized_return,net_annualized_arithmetic_return,net_annualized_volatility,net_sharpe_ratio,net_maximum_drawdown,net_positive_return_share,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,rebalance_count,average_rebalance_turnover,cumulative_turnover,annualized_turnover,average_target_weight_hhi,maximum_target_weight_hhi,average_crypto_sleeve_weight,total_transaction_cost_rate,cost_drag_ending_growth
combined_maximum_sharpe__weekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.5778395623775268,0.5778395623775268,0.1648874831532614,0.17266149640823866,0.20018560667065372,0.8625070467343948,-0.19624189253081858,0.5431606905710491,753,1.5469080948651217,0.5469080948651217,0.15719473828926755,0.16602707301936892,0.20016094482036692,0.8294678723083008,-0.1971296440020338,0.5431606905710491,0.15719473828926755,0.20016094482036692,0.8294678723083008,-0.1971296440020338,151,0.1312866816939692,19.82428893578935,6.634423388869743,0.09162080354139993,0.12986222695413827,0.0777933504352976,0.01982428893578935,0.030931467512405053
combined_maximum_sharpe__weekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.5778395623775268,0.5778395623775268,0.1648874831532614,0.17266149640823866,0.20018560667065372,0.8625070467343948,-0.19624189253081858,0.5431606905710491,753,1.501632827651405,0.501632827651405,0.14574788721969556,0.15607543793606432,0.20013492687633716,0.7798510753323079,-0.1984596503824828,0.5378486055776892,0.14574788721969556,0.20013492687633716,0.7798510753323079,-0.1984596503824828,151,0.1312866816939692,19.82428893578935,6.634423388869743,0.09162080354139993,0.12986222695413827,0.0777933504352976,0.04956072233947338,0.07620673472612172
combined_risk_parity__biweekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.4665686860098777,0.46656868600987766,0.13672389417099517,0.14095751978928656,0.15988210729907645,0.8816341126002959,-0.19958644873507358,0.5444887118193891,753,1.464431248615857,0.46443124861585705,0.13616918897472452,0.14046977680797473,0.1598858845829739,0.8785627147409437,-0.19969727882678556,0.5444887118193891,0.13616918897472452,0.1598858845829739,0.8785627147409437,-0.19969727882678556,76,0.03835322315453065,2.9148449597443293,0.9754859626236002,0.020181292439622807,0.02116205679805874,0.06949679585022986,0.0014574224798721651,0.0021374373940206137
combined_risk_parity__biweekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.4665686860098777,0.46656868600987766,0.13672389417099517,0.14095751978928656,0.15988210729907645,0.8816341126002959,-0.19958644873507358,0.5444887118193891,753,1.4622965362276483,0.4622965362276483,0.13561465305936293,0.1399820338266629,0.15989020893809258,0.8754884664692767,-0.19980809510223796,0.5444887118193891,0.13561465305936293,0.15989020893809258,0.8754884664692767,-0.19980809510223796,76,0.03835322315453065,2.9148449597443293,0.9754859626236002,0.020181292439622807,0.02116205679805874,0.06949679585022986,0.0029148449597443302,0.00427214978222934
combined_risk_parity__biweekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.4665686860098777,0.46656868600987766,0.13672389417099517,0.14095751978928656,0.15988210729907645,0.8816341126002959,-0.19958644873507358,0.5444887118193891,753,1.45590871705055,0.45590871705055,0.13395206019319295,0.13851880488272755,0.15990646395886784,0.8662489398699871,-0.20014046104638172,0.5444887118193891,0.13395206019319295,0.15990646395886784,0.8662489398699871,-0.20014046104638172,76,0.03835322315453065,2.9148449597443293,0.9754859626236002,0.020181292439622807,0.02116205679805874,0.06949679585022986,0.007287112399360826,0.010659968959327637
combined_risk_parity__daily,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.466442420569165,0.4664424205691651,0.13669114086941625,0.1407922570754334,0.15903429512635736,0.885294941971918,-0.20116720979947078,0.5511288180610889,753,1.4617182450211677,0.46171824502116765,0.13546433718963913,0.139712657467342,0.15903906839818263,0.8784801047598348,-0.20152605222479836,0.5511288180610889,0.13546433718963913,0.15903906839818263,0.8784801047598348,-0.20152605222479836,753,0.008568250857868442,6.451892895974937,2.1591992161828473,0.020196202782757133,0.021349122217249005,0.06901429420205463,0.003225946447987469,0.004724175547997422
combined_risk_parity__daily,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.466442420569165,0.4664424205691651,0.13669114086941625,0.1407922570754334,0.15903429512635736,0.885294941971918,-0.20116720979947078,0.5511288180610889,753,1.4570089016225034,0.4570089016225034,0.1342387567775376,0.13863305785925054,0.15904436557214546,0.8716628052841271,-0.2018847349474202,0.5511288180610889,0.1342387567775376,0.15904436557214546,0.8716628052841271,-0.2018847349474202,753,0.008568250857868442,6.451892895974937,2.1591992161828473,0.020196202782757133,0.021349122217249005,0.06901429420205463,0.006451892895974938,0.009433518946661668
combined_risk_parity__daily,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.466442420569165,0.4664424205691651,0.13669114086941625,0.1407922570754334,0.15903429512635736,0.885294941971918,-0.20116720979947078,0.5511288180610889,753,1.4429694084212412,0.4429694084212412,0.13056934315993085,0.1353942590349763,0.15906339995756225,0.8511968125357512,-0.20295982560305226,0.5511288180610889,0.13056934315993085,0.15906339995756225,0.8511968125357512,-0.20295982560305226,753,0.008568250857868442,6.451892895974937,2.1591992161828473,0.020196202782757133,0.021349122217249005,0.06901429420205463,0.01612973223993734,0.023473012147923855
combined_risk_parity__monthly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.4779389366501579,0.47793893665015785,0.1396656825297451,0.14388910923613518,0.16201925123320735,0.8880988409767678,-0.19475476838084338,0.545816733067729,753,1.476221723918442,0.4762217239184421,0.1392223612409318,0.1435000683224169,0.16202061947661586,0.8856901595980381,-0.19484728181323974,0.545816733067729,0.1392223612409318,0.16202061947661586,0.8856901595980381,-0.19484728181323974,36,0.0645828500947676,2.3249826034116334,0.7780818274365626,0.02015516860460094,0.021067913358604303,0.0696463438354578,0.0011624913017058169,0.001717212731715767
combined_risk_parity__monthly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.4779389366501579,0.47793893665015785,0.1396656825297451,0.14388910923613518,0.16201925123320735,0.8880988409767678,-0.19475476838084338,0.545816733067729,753,1.4745061124294498,0.47450611242944984,0.13877911057107628,0.1431110274086986,0.1620225306853937,0.8832785588726769,-0.1949397865841127,0.545816733067729,0.13877911057107628,0.1620225306853937,0.8832785588726769,-0.1949397865841127,36,0.0645828500947676,2.3249826034116334,0.7780818274365626,0.02015516860460094,0.021067913358604303,0.0696463438354578,0.0023249826034116338,0.0034328242207080084
combined_risk_parity__monthly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.4779389366501579,0.47793893665015785,0.1396656825297451,0.14388910923613518,0.16201925123320735,0.8880988409767678,-0.19475476838084338,0.545816733067729,753,1.4693688722154234,0.46936887221542345,0.13744978181976686,0.14194390466754375,0.16203152188451786,0.8760264855668588,-0.19521724893393155,0.545816733067729,0.13744978181976686,0.16203152188451786,0.8760264855668588,-0.19521724893393155,36,0.0645828500947676,2.3249826034116334,0.7780818274365626,0.02015516860460094,0.021067913358604303,0.0696463438354578,0.005812456508529083,0.008570064434734403
combined_risk_parity__weekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.4579073225232069,0.45790732252320687,0.13447276904431327,0.1388678747882782,0.15922251355592767,0.87216230724495,-0.20026192430697953,0.549800796812749,753,1.4552809021259192,0.4552809021259192,0.13378839359349093,0.1382650818360947,0.1592283823655572,0.8683444482822488,-0.20043411677761147,0.549800796812749,0.13378839359349093,0.1592283823655572,0.8683444482822488,-0.20043411677761147,151,0.0238569900659204,3.6024054999539805,1.2055859043670691,0.020194323344270067,0.02116205679805874,0.06912889044491662,0.0018012027499769902,0.0026264203972876654
combined_risk_parity__weekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.4579073225232069,0.45790732252320687,0.13447276904431327,0.1388678747882782,0.15922251355592767,0.87216230724495,-0.20026192430697953,0.549800796812749,753,1.4526588270134428,0.45265882701344284,0.13310433017710044,0.13766228888391113,0.15923479508833166,0.8645239176999368,-0.20060627378553464,0.549800796812749,0.13310433017710044,0.15923479508833166,0.8645239176999368,-0.20060627378553464,151,0.0238569900659204,3.6024054999539805,1.2055859043670691,0.020194323344270067,0.02116205679805874,0.06912889044491662,0.0036024054999539805,0.0052484955097640285
combined_risk_parity__weekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.4579073225232069,0.45790732252320687,0.13447276904431327,0.1388678747882782,0.15922251355592767,0.87216230724495,-0.20026192430697953,0.549800796812749,753,1.4448186053760321,0.44481860537603213,0.13105401050251575,0.13585391002736052,0.1592572960506169,0.8530466948539801,-0.20112253210278386,0.549800796812749,0.13105401050251575,0.1592572960506169,0.8530466948539801,-0.20112253210278386,151,0.0238569900659204,3.6024054999539805,1.2055859043670691,0.020194323344270067,0.02116205679805874,0.06912889044491662,0.00900601374988495,0.013088717147174744
