variant,variant_label,kind,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,view_scale_annual,is_primary,risk_aversion,tau,turnover,transaction_cost,covariance_trace,covariance_condition_number,covariance_ridge_added,expected_return_min,expected_return_max,solver_success,solver_status,solver_iterations,active_view_count,mean_active_confidence,maximum_active_confidence,minimum_view_uncertainty,maximum_view_uncertainty,posterior_return_shift_l2,maximum_absolute_posterior_return_shift,l1_weight_tilt_from_prior,maximum_weight_sum_residual,maximum_bound_residual
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2021-11-01,2020-10-30,2021-10-29,2021-11-01,252,0.04,False,2.5,0.05,0.6706779644489629,0.0006706779644489629,4.159227537977499,315.90188050678523,8.318454992770447e-10,-0.03804484144889364,1.5250342431668675,True,0,35,8,0.6153744564331634,0.7552083333333334,0.00044677732287739743,0.0027907177528531443,0.14726500019990774,0.08682714525705829,1.2585781491887014,1.1102230246251565e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2021-12-01,2020-12-01,2021-11-30,2021-12-01,252,0.04,False,2.5,0.05,0.7909102131490755,0.0007909102131490756,3.7330974299977373,268.85629255670045,7.466194785333525e-10,-0.17349452421536093,0.9785778184849881,True,0,32,10,0.5228654781771943,0.95,6.328124181590381e-05,0.007027801592087236,0.1774104848374045,0.058402504042156925,1.4763343059051264,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-01-03,2021-01-04,2021-12-31,2022-01-03,252,0.04,False,2.5,0.05,0.6833053716082829,0.0006833053716082829,3.785003164708261,290.9337377595371,7.570006253716459e-10,-0.12605950714046,0.914339693277029,True,0,31,9,0.563014149589877,0.95,5.0193736942814707e-05,0.009150927531357565,0.20288566431438065,0.07893539456816798,1.3996022703580335,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-02-01,2021-02-02,2022-01-31,2022-02-01,252,0.04,False,2.5,0.05,0.6896236291928748,0.0006896236291928748,3.7798292049481974,318.9718688197157,7.559658334299811e-10,-0.15047290084382414,0.8728852544158702,True,0,33,10,0.8342014539514071,0.95,4.7002233587309375e-05,0.001962866146431747,0.21080613261989975,0.09040985795585593,1.3821634229269524,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-03-01,2021-03-02,2022-02-28,2022-03-01,252,0.04,False,2.5,0.05,0.9824352673303485,0.0009824352673303484,3.8465221707918356,276.3171762647196,7.693044264653227e-10,-0.2425927947907769,0.8761242453888961,True,0,22,10,0.6418745303720044,0.9385813148788926,5.803668811550763e-05,0.002536783878107716,0.1840417507727519,0.0700210572897422,1.391061744402685,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-04-01,2021-04-05,2022-03-31,2022-04-01,252,0.04,False,2.5,0.05,0.9552670932658618,0.0009552670932658618,4.024441658350308,311.33527755599476,8.048883236211783e-10,-0.28945013253051877,0.8913328012218693,True,0,28,10,0.7735129440665155,0.95,5.827674736134866e-05,0.0022788743025049536,0.20089435577681597,0.09758989979536045,1.4476172095380757,6.661338147750939e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-05-02,2021-05-03,2022-04-29,2022-05-02,252,0.04,False,2.5,0.05,0.4253727555566875,0.0004253727555566875,4.284996708228052,314.19614183547003,8.569993330756168e-10,-0.4753197972276958,0.9388799704010586,True,0,31,9,0.7335237023286113,0.95,6.564326083202534e-05,0.003853488781370907,0.21319372417039795,0.08063159143556706,1.370329918187124,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-06-01,2021-06-02,2022-05-31,2022-06-01,252,0.04,False,2.5,0.05,0.724540420921453,0.000724540420921453,4.683380842181999,429.5009606662642,9.366761590696385e-10,-0.5815489189410324,1.0545687899640876,True,0,27,10,0.7317111253620727,0.9429065743944636,0.00012470416696636167,0.003191627575952101,0.19650798106929407,0.06905724901745565,1.332280802243255,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-07-01,2021-07-01,2022-06-30,2022-07-01,252,0.04,False,2.5,0.05,0.866254747285542,0.0008662547472855419,5.06933383844659,510.5361682089672,1.0138667575506501e-09,-0.5782209800041562,0.8011361548468544,True,0,26,10,0.716271502164669,0.95,7.504304189530457e-05,0.008448720066719867,0.21949841788192634,0.09220377768072706,1.3590452008668696,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-08-01,2021-07-30,2022-07-29,2022-08-01,252,0.04,False,2.5,0.05,0.9439514371706885,0.0009439514371706886,5.264405780011374,519.2828415783691,1.0528811454734633e-09,-0.4743378757951733,1.0610827829850287,True,0,29,9,0.754599402751925,0.95,8.117180239586094e-05,0.010267821932076048,0.21551013604402072,0.061068602880164455,1.394694399115438,2.220446049250313e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-09-01,2021-09-01,2022-08-31,2022-09-01,252,0.04,False,2.5,0.05,0.6175341019594691,0.0006175341019594692,5.410058492317103,557.7047098850965,1.0820116876433034e-09,-0.489901311668022,1.1828191271343909,True,0,19,10,0.7292027712134579,0.95,8.958482625707237e-05,0.004958427954892254,0.24728076498863902,0.08743697546474354,1.4772753307011086,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-10-03,2021-10-01,2022-09-30,2022-10-03,252,0.04,False,2.5,0.05,0.9305460444949076,0.0009305460444949076,5.666887786649403,617.4377085828124,1.133377545996105e-09,-0.6348446139350687,0.8913308032260187,True,0,31,9,0.5109863989288056,0.95,0.0004867634158190452,0.00940344697364145,0.18420989269620677,0.097848147130978,1.2220306191070276,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-11-01,2021-11-01,2022-10-31,2022-11-01,252,0.04,False,2.5,0.05,0.6103289278604055,0.0006103289278604055,6.021456174395363,648.5502777321982,1.2042912228361604e-09,-0.6083168093436072,0.9320822595695339,True,0,26,9,0.7648377803345752,0.95,0.0001468668185784198,0.0037215631123350998,0.18724681874569038,0.07743257356915718,1.2112413198690506,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2022-12-01,2021-12-01,2022-11-30,2022-12-01,252,0.04,False,2.5,0.05,0.9284495767789586,0.0009284495767789586,6.249555728017336,701.6202416455271,1.249911133104356e-09,-0.5492037107009324,1.012398262304997,True,0,19,10,0.6672616444405487,0.95,8.97618557473159e-05,0.00552632899900473,0.18850151051534103,0.07080643800470215,1.370288636098013,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-01-03,2021-12-31,2022-12-30,2023-01-03,252,0.04,False,2.5,0.05,0.852886581291086,0.000852886581291086,6.191813444196875,713.826459680812,1.2383626764557482e-09,-0.6198019913959887,0.9359017507349877,True,0,40,9,0.5984018487024438,0.95,0.00012500325090109734,0.012736103971751787,0.19462261782338744,0.09090015808524055,1.0283693541730037,1.1102230246251565e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-02-01,2022-01-31,2023-01-31,2023-02-01,252,0.04,False,2.5,0.05,0.465378659732328,0.00046537865973232803,6.113900152339298,662.3865223016511,1.2227800182400594e-09,-0.4107847709334955,0.6931753816190576,True,0,23,10,0.6902399031384687,0.95,8.015265888891736e-05,0.005609452848967981,0.17594922424623052,0.07107795617439776,1.3641307049366782,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-03-01,2022-02-28,2023-02-28,2023-03-01,252,0.04,False,2.5,0.05,0.4074099289742357,0.0004074099289742357,5.967437912963498,719.7930902798075,1.193487570657824e-09,-0.5300802301245598,0.560747599864184,True,0,26,9,0.5328404686980225,0.7222222222222222,0.0008831803319498871,0.011658708117807866,0.10299685796910453,0.04682455307364766,1.2302383770913006,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-04-03,2022-03-31,2023-03-31,2023-04-03,252,0.04,False,2.5,0.05,0.8434393716654639,0.0008434393716654639,5.790126282013423,710.8829062608362,1.1580252448224324e-09,-0.3738643148089632,0.4041887312530835,True,0,33,10,0.6521418679959826,0.9452479338842976,0.00025220731363005086,0.00399341304810816,0.11473425953099106,0.0413156188123536,1.1544150698177909,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-05-01,2022-04-28,2023-04-28,2023-05-01,252,0.04,False,2.5,0.05,0.8378608351140612,0.0008378608351140612,5.642257477505018,714.6538978489344,1.1284514842164888e-09,-0.3388991365636248,0.5858993506629674,True,0,29,10,0.7341100040558427,0.9183673469387756,0.00013287949399134124,0.005558203666907488,0.16214331295676743,0.06339426031996948,1.4347691231696333,2.220446049250313e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-06-01,2022-05-31,2023-05-31,2023-06-01,252,0.04,False,2.5,0.05,0.7043258741252959,0.0007043258741252959,5.250113564529966,609.9353742650943,1.0500227024057662e-09,-0.45545680673063427,0.8770008312109273,True,0,29,9,0.756740277955333,0.95,7.510435375197939e-05,0.00349547428740278,0.18034080325734106,0.04420743783112241,1.2534870014673838,4.440892098500626e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-07-03,2022-06-30,2023-06-30,2023-07-03,252,0.04,False,2.5,0.05,0.6685904082932597,0.0006685904082932597,4.883298319330571,550.9165099528301,9.766596540995178e-10,-0.34636314378090993,1.1699565688763638,True,0,25,10,0.691935869182122,0.95,0.00011733261324353085,0.008968756124487953,0.22305113097007084,0.0791230017313053,1.4221934138361765,2.220446049250313e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-08-01,2022-07-29,2023-07-31,2023-08-01,252,0.04,False,2.5,0.05,0.5372203312230485,0.0005372203312230485,4.728660289016061,534.166189472076,9.45732048345892e-10,-0.4257137157133368,1.1159951693564845,True,0,27,9,0.7927175524657676,0.95,0.00011965014325983106,0.0032347274780708335,0.1862193052367317,0.06695938365271409,1.3868771349696787,2.220446049250313e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-09-01,2022-08-31,2023-08-31,2023-09-01,252,0.04,False,2.5,0.05,0.9597821421792986,0.0009597821421792986,4.546920102129455,472.5728005934037,9.093840113320509e-10,-0.43813560969970056,1.3175303418143658,True,0,19,10,0.7744811937285714,0.95,9.622950753801852e-05,0.0033584223055050685,0.19833542528002604,0.09751824630092283,1.477630981743409,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-10-02,2022-09-29,2023-09-29,2023-10-02,252,0.04,False,2.5,0.05,0.9444936217661247,0.0009444936217661247,4.283792021962718,412.3762148537553,8.567583958249595e-10,-0.43345810393913387,1.3764609828460026,True,0,26,9,0.7248612371286381,0.95,0.00013357113824893278,0.0028438983067357597,0.16911307318922528,0.07558430968853944,1.4063829583443033,0.0,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-11-01,2022-10-31,2023-10-31,2023-11-01,252,0.04,False,2.5,0.05,0.6591079203981784,0.0006591079203981785,3.9744385443219157,341.81313105563646,7.948877009155061e-10,-0.4631479082031792,1.221485025665576,True,0,22,10,0.7158457873602122,0.95,7.177255203133117e-05,0.003347309083121385,0.1908355058386978,0.08295885839419266,1.3948185229133752,2.220446049250313e-16,0.0
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,2023-12-01,2022-11-30,2023-11-30,2023-12-01,252,0.04,False,2.5,0.05,0.5880792665215684,0.0005880792665215684,3.6801088767873025,285.3080632813413,7.360217679972428e-10,-0.2766021355118453,1.2222043695132911,True,0,19,10,0.7524564060832539,0.9224965706447188,9.296928626678298e-05,0.002088450038141191,0.19575312173644066,0.0848217185236318,1.5084424704464294,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,0.0,False,2.5,0.05,1.0,0.001,13.184233797269265,708.2401086386429,2.6368467330853855e-09,-0.3492732395247833,0.9488143251997084,True,0,0,7,0.605628407551529,0.8956916099773243,,,,,0.15580021087256407,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-02-01,2020-01-31,2021-01-29,2021-02-01,252,0.0,False,2.5,0.05,0.09035525161778057,9.035525161778058e-05,13.465257787911993,661.1466828998957,2.693051530651883e-09,-0.23740683868214907,0.9237121823064337,True,0,0,10,0.5697855590589123,0.9602076124567474,,,,,0.1509183857160713,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-03-01,2020-02-28,2021-02-26,2021-03-01,252,0.0,False,2.5,0.05,0.07971694706663435,7.971694706663435e-05,13.324354398206259,663.0315596849582,2.664870852992543e-09,-0.09602128620994455,0.9459226944620321,True,0,0,10,0.48763503086419746,0.8641975308641975,,,,,0.133316253439523,1.1102230246251565e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-04-01,2020-04-01,2021-03-31,2021-04-01,252,0.0,False,2.5,0.05,0.09479320217435888,9.479320217435888e-05,7.651657660345755,384.1065013271364,1.530331516765836e-09,-0.060127039234835644,1.226556819766659,True,0,0,8,0.5922416052962589,0.9876543209876544,,,,,0.17306342827282398,1.1102230246251565e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-05-03,2020-05-01,2021-04-30,2021-05-03,252,0.0,False,2.5,0.05,0.13091581920866507,0.00013091581920866507,6.276780580370753,349.63417521830985,1.2553561035205896e-09,-0.2081438801394524,0.8493961050735777,True,0,0,9,0.5879095230917565,0.925,,,,,0.17590495559743094,2.220446049250313e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-06-01,2020-06-01,2021-05-28,2021-06-01,252,0.0,False,2.5,0.05,0.15749320703040665,0.00015749320703040666,5.719485651015339,338.35690348588344,1.1438971187640966e-09,-0.09446757920356907,1.0236878148723123,True,0,0,9,0.659578869503112,0.9917355371900828,,,,,0.1968774191085066,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-07-01,2020-07-01,2021-06-30,2021-07-01,252,0.0,False,2.5,0.05,0.11357531086130598,0.00011357531086130599,4.93436282698919,284.1972655923129,9.868725555291125e-10,-0.04517062980827402,0.9353134194385742,True,0,0,7,0.5846671069743319,0.9375,,,,,0.15846180900841192,0.0,0.0
