fund_id,fund_name,asset_family,method,rebalance_schedule,rebalance_number,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,annualization_days,eligible_asset_count,turnover,transaction_cost,transaction_cost_bps,covariance_trace,covariance_condition_number,covariance_ridge_added,expected_return_min,expected_return_max,solver_success,solver_status,solver_message,solver_iterations,valid_start_count,objective_value,expected_portfolio_return,expected_portfolio_volatility,expected_sharpe,weight_sum_residual,maximum_bound_residual,minimum_weight,maximum_weight,crypto_sleeve_weight,weight_hhi,risk_contribution_dispersion,effective_number_of_bets,effective_bet_ratio
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,20,2022-08-01,2021-07-30,2022-07-29,2022-08-01,252,252,60,0.03975607881194894,3.975607881194894e-05,10.0,11.969160269844172,1745.9274188145564,1.9948600250254287e-09,-1.124999905167706,1.0610827829850287,True,0,Optimization terminated successfully,20,1,4.482117544179205e-10,-0.004126937396655258,0.1620134315318639,-0.025472810233289792,0.0,0.0,0.005070370819117446,0.03498039762789948,0.05965766635030391,0.0208616847653215,2.733165912813488e-06,2.879876277484262,0.04799793795807104
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,21,2022-09-01,2021-09-01,2022-08-31,2022-09-01,252,252,60,0.021145748187259956,2.1145748187259958e-05,10.0,11.88356948842717,1737.9821098442574,1.9805948949319128e-09,-1.791651518649385,1.1828191271343909,True,0,Optimization terminated successfully,19,1,5.518348259576426e-10,-0.05681213416002667,0.16681246084816764,-0.3405748819432438,0.0,0.0,0.0050868445475149345,0.03370778267068796,0.061772930363440316,0.020736278244322136,3.032696341425064e-06,2.8568373642010934,0.04761395607001822
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,22,2022-10-03,2021-10-01,2022-09-30,2022-10-03,252,252,60,0.03373943150991208,3.373943150991208e-05,10.0,11.7416379889912,1698.8803108499346,1.9569396452624707e-09,-1.6131078797075316,0.8913308032260187,True,0,Optimization terminated successfully,18,1,3.6500409829280364e-10,-0.09364812854184759,0.17785143602640668,-0.5265525577648026,2.220446049250313e-16,0.0,0.005553368137470745,0.034201967912401036,0.06965643495008664,0.020224491547024995,2.466455277967516e-06,2.6931594406420003,0.04488599067736667
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,23,2022-11-01,2021-11-01,2022-10-31,2022-11-01,252,252,60,0.03806810211730399,3.8068102117303995e-05,10.0,11.868531637254668,1529.6921907522328,1.9780885864282257e-09,-1.7028483801535979,0.9320822595695339,True,0,Optimization terminated successfully,19,1,1.727908243526964e-10,-0.061718771650484124,0.1903362665758284,-0.32426175400417384,2.220446049250313e-16,0.0,0.006131907098828343,0.03862329093476414,0.07832419943594768,0.019875377219536115,1.6970112175658559e-06,2.5127894548850787,0.041879824248084646
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,24,2022-12-01,2021-12-01,2022-11-30,2022-12-01,252,252,60,0.037782992852417076,3.7782992852417074e-05,10.0,12.511759456409925,1741.479417358475,2.0852932218820557e-09,-1.4992075946870713,1.012398262304997,True,0,Optimization terminated successfully,20,1,6.300041386394707e-10,0.05723285159781814,0.1988161917382314,0.28786816152867967,0.0,0.0,0.005857241921217945,0.04370637299625403,0.07566270710173044,0.02024990953944694,3.2403809926187356e-06,2.3908368069326627,0.03984728011554438
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,25,2023-01-03,2021-12-31,2022-12-30,2023-01-03,252,252,60,0.026838192441777146,2.6838192441777147e-05,10.0,12.204746130223773,1687.7212445509294,2.034124334696052e-09,-1.6878110548244987,0.9359017507349877,True,0,Optimization terminated successfully,19,1,8.07072207045609e-10,-0.03454090038456122,0.20046830899207393,-0.1723010512645512,1.1102230246251565e-16,0.0,0.005806450965966925,0.041380934169756696,0.07768075893692619,0.02009300015655896,3.6675882335343904e-06,2.31693314638184,0.03861555243969734
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,26,2023-02-01,2022-01-31,2023-01-31,2023-02-01,252,252,60,0.03394779939836764,3.3947799398367636e-05,10.0,12.050344039961132,1534.2625053683762,2.0083906532429493e-09,-0.9061169181647154,0.6931753816190576,True,0,Optimization terminated successfully,19,1,4.400034291709817e-10,0.0669662622011829,0.2027840060564112,0.3302344376338733,0.0,0.0,0.005621043713208505,0.04030442498783563,0.07923412271606492,0.019986593945327685,2.708023354068688e-06,2.2991239433336017,0.03831873238889336
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,27,2023-03-01,2022-02-28,2023-02-28,2023-03-01,252,252,60,0.01787077080068333,1.787077080068333e-05,10.0,11.707887040687611,1718.4028867774784,1.9513144872681243e-09,-1.0331553358389942,0.560747599864184,True,0,Optimization terminated successfully,19,1,5.969315835891876e-10,0.005557818227987162,0.2010264332095514,0.027647201113067812,1.1102230246251565e-16,0.0,0.005602252527837079,0.04071517831920313,0.07954961935338434,0.01997596892270861,3.1541813084359375e-06,2.271879513687372,0.037864658561456196
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,28,2023-04-03,2022-03-31,2023-03-31,2023-04-03,252,252,60,0.027744514674312097,2.7744514674312097e-05,10.0,11.569485901906852,1617.680774762569,1.928247631035332e-09,-1.1728849366405165,0.4041887312530835,True,0,Optimization terminated successfully,19,1,4.681113214194721e-10,-0.03834610255232791,0.20354925950380412,-0.18838733506476482,2.220446049250313e-16,0.0,0.005775064881568448,0.04117961709885586,0.07962416193667661,0.019955555050010922,2.7931801511881894e-06,2.20803643949555,0.036800607324925835
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,29,2023-05-01,2022-04-28,2023-04-28,2023-05-01,252,252,60,0.022340515216538005,2.2340515216538005e-05,10.0,11.166942179208714,1653.5195744327805,1.8611570112565487e-09,-0.8606587353755566,0.5858993506629674,True,0,Optimization terminated successfully,18,1,8.931257390827882e-10,0.024698326239091493,0.2015017846836579,0.12257125304307324,0.0,0.0,0.005846944228383648,0.04074740265047666,0.08118633375529283,0.019876460211899656,3.8581639395849765e-06,2.226876547908979,0.037114609131816315
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,30,2023-06-01,2022-05-31,2023-05-31,2023-06-01,252,252,60,0.029005395856639755,2.9005395856639756e-05,10.0,9.835175172956511,1381.864585035373,1.63919584576746e-09,-0.45545680673063427,0.9143758820515224,True,0,Optimization terminated successfully,17,1,2.9928302021005986e-10,-0.015649155878830208,0.18872879028319678,-0.08291875264684251,0.0,0.0,0.006081641616420235,0.04079440900790314,0.0871283157611494,0.01951716495981223,2.2333943531839406e-06,2.1737806015011527,0.03622967669168588
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,31,2023-07-03,2022-06-30,2023-06-30,2023-07-03,252,252,60,0.0397827869146372,3.97827869146372e-05,10.0,9.43331720504861,1200.8833950209728,1.5722195184525737e-09,-0.4050686877913898,1.2823855441728425,True,0,Optimization terminated successfully,19,1,1.7023618676674804e-10,0.1435239206197763,0.1742950936447468,0.8234535902215976,0.0,0.0,0.005895914873779625,0.04465701788968237,0.0901890349617474,0.019672303107783104,1.6844197159396903e-06,2.4604775722842542,0.041007959538070904
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,32,2023-08-01,2022-07-29,2023-07-31,2023-08-01,252,252,60,0.03200942749233486,3.2009427492334864e-05,10.0,9.726061270141216,1224.4960377248765,1.6210101954801005e-09,-0.4257137157133368,1.4045880045311487,True,0,Optimization terminated successfully,19,1,2.7426190951373564e-10,0.1323855995035968,0.17221983958050155,0.7687012125087664,0.0,0.0,0.006518131008943968,0.04352359285554211,0.08852068724188165,0.01959720272166273,2.137997152764607e-06,2.5702668507206,0.04283778084534333
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,33,2023-09-01,2022-08-31,2023-08-31,2023-09-01,252,252,60,0.02661277117714817,2.6612771177148174e-05,10.0,9.377587196601691,1081.8201815904176,1.562931183804303e-09,-0.43813560969970056,1.3175303418143658,True,0,Optimization terminated successfully,18,1,5.262867412095746e-10,0.11196134382961553,0.1693169379896725,0.6612530628001589,0.0,0.0,0.0066678961181846266,0.04169292377180877,0.08845310791534815,0.019489831409471605,2.9616626558112137e-06,2.609946677581031,0.04349911129301719
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,34,2023-10-02,2022-09-29,2023-09-29,2023-10-02,252,252,60,0.022650330134811703,2.2650330134811705e-05,10.0,8.745983435227723,972.001657314027,1.4576638912946484e-09,-0.43345810393913387,1.3764609828460026,True,0,Optimization terminated successfully,18,1,6.279717202104236e-10,0.1571848184097773,0.1581336799528831,0.9939996239675917,0.0,0.0,0.006672747107697801,0.04160284381655294,0.0877916941633229,0.019614895765630868,3.2351499713056657e-06,2.72810485180106,0.045468414196684334
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,35,2023-11-01,2022-10-31,2023-10-31,2023-11-01,252,252,60,0.030793225511524896,3.0793225511524895e-05,10.0,8.394732475838616,940.1625344027392,1.3991220653152154e-09,-0.4631479082031792,1.221485025665576,True,0,Optimization terminated successfully,20,1,1.7440703407038994e-10,0.06005875808360445,0.14248582324433207,0.4215069030454826,0.0,0.0,0.00595318871461233,0.043640995650779855,0.07865375403202177,0.02015109072416293,1.7049292950657146e-06,3.118381765206728,0.051973029420112137
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,36,2023-12-01,2022-11-30,2023-11-30,2023-12-01,252,252,60,0.04836902628865884,4.836902628865884e-05,10.0,7.481652148752392,718.9236053277319,1.2469420123226453e-09,-0.2766021355118453,1.2222043695132911,True,0,Optimization terminated successfully,17,1,2.342080823794155e-10,0.09577772195883573,0.13105291302038605,0.7308324534834029,1.1102230246251565e-16,0.0,0.006823809301674695,0.03804569947885096,0.09089115313347534,0.01957822625021922,1.9757196257707745e-06,3.0387190681874245,0.05064531780312374
crypto_effective_bets,Crypto Factor Diversification,crypto,effective_bets,monthly,1,2021-01-01,2020-01-02,2020-12-31,2021-01-01,365,365,10,1.0,0.001,10.0,10.307079478607161,89.81394077727556,1.0307079375536366e-08,0.5017098514163996,2.3211586001308238,True,0,Optimization terminated successfully,4,7,-0.4232940115569532,1.6749123097002818,0.8279022315251106,2.02307983469843,0.0,0.0,0.0,0.25,1.0,0.25,0.12405230155645294,1.5269831806769687,0.15269831806769688
crypto_effective_bets,Crypto Factor Diversification,crypto,effective_bets,monthly,2,2021-02-01,2020-02-02,2021-01-31,2021-02-01,365,365,10,0.3466824512042172,0.00034668245120421723,10.0,12.03711434463415,75.3355773967912,1.2037114224263008e-08,0.06005577032354803,2.5484846761287328,True,0,Optimization terminated successfully,5,7,-0.4965151280333136,0.952943168341198,0.8397215625667347,1.1348323192135075,0.0,0.0,0.0,0.25,1.0,0.25,0.12387800228987196,1.6429856878534908,0.16429856878534907
crypto_effective_bets,Crypto Factor Diversification,crypto,effective_bets,monthly,3,2021-03-01,2020-03-01,2021-02-28,2021-03-01,365,365,10,0.5182560938591343,0.0005182560938591343,10.0,13.053596059205589,74.05436241566781,1.3053595928669631e-08,0.5370845914100594,4.161129473065568,True,0,Optimization terminated successfully,4,7,-0.5676427237945266,1.767705349442894,0.9194194526162632,1.9226320961697976,0.0,0.0,0.0,0.25,1.0,0.25,0.12410546323207242,1.7641036666403294,0.17641036666403292
crypto_effective_bets,Crypto Factor Diversification,crypto,effective_bets,monthly,4,2021-04-01,2020-04-01,2021-03-31,2021-04-01,365,365,10,0.027921416912973847,2.7921416912973846e-05,10.0,11.004321151240948,51.2988402938384,1.1004321041197737e-08,1.2105871238559645,4.389858023940388,True,0,Optimization terminated successfully,3,7,-0.8466739367508127,2.2264955292053212,0.7696596400377321,2.892831341781373,0.0,0.0,1.764035304284616e-15,0.24999999999999045,1.0,0.24999999999997297,0.12484492156634529,2.3318779655814703,0.23318779655814703
crypto_effective_bets,Crypto Factor Diversification,crypto,effective_bets,monthly,5,2021-05-01,2020-05-01,2021-04-30,2021-05-01,365,365,10,0.33184416101471725,0.00033184416101471727,10.0,12.562471745666796,55.47690315110366,1.2562471620042082e-08,1.3389530736193875,4.061644910746317,True,0,Optimization terminated successfully,5,7,-0.9160386747673237,2.846084775242941,0.7826117713012357,3.636649587458674,0.0,0.0,3.2172305224080543e-13,0.24999999999982433,1.0,0.24999999999247874,0.12661451439018134,2.499369936642231,0.24993699366422312
