date,ticker_count,covered_tickers,headline_count,coverage_breadth,plain_sentiment_index,plain_fear_greed_index,plain_standardized_score,finance_sentiment_index,finance_fear_greed_index,finance_standardized_score,standardization_basis,no_news_policy
2020-01-02,50,39,138,0.78,0.09234129743589743,54.617064871794874,0.19448311721431916,0.09211583076923077,54.60579153846153,-0.050574460779453816,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-19,50,44,226,0.88,0.11905496680672269,55.952748340336136,0.9322679319433878,0.1439360431372549,57.196802156862745,1.2768267531310917,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-20,50,45,222,0.9,0.08688648284493285,54.34432414224665,0.043830680946186217,0.10603016330891331,55.30150816544567,0.30584827583068275,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-21,50,42,150,0.84,0.09315185071595071,54.65759253579754,0.21686918081534784,0.1308288567099567,56.54144283549783,0.9410794765475001,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-24,50,47,252,0.94,0.10996894654234655,55.498447327117326,0.6813279474611954,0.12581689524364525,56.29084476218227,0.8126955230583424,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-25,50,47,235,0.94,0.08646713523143523,54.32335676157176,0.032249033474375174,0.12236648076923079,56.118324038461544,0.7243113935355842,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-26,50,44,213,0.88,0.08682813625541126,54.341406812770565,0.04221925021599725,0.11981709974747476,55.99085498737374,0.6590076962260069,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-27,50,45,250,0.9,0.08230444166666667,54.115222083333336,-0.08271728050609099,0.12218803769841272,56.10940188492064,0.7197404831129168,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-04-28,50,43,224,0.86,0.07907754930642834,53.95387746532142,-0.17183840232206932,0.12155084135130104,56.077542067565055,0.7034183731484018,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-01,50,45,235,0.9,0.05010931975772765,52.50546598788638,-0.9718902250027294,0.0575156738512949,52.875783692564745,-0.9368751568897554,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-02,50,45,183,0.9,0.05074779166666667,52.537389583333336,-0.9542567478301498,0.0761629003968254,53.80814501984127,-0.45921692236125944,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-03,50,40,180,0.8,0.05268356056590468,52.63417802829523,-0.9007941972962883,0.07602352993183287,53.80117649659164,-0.4627869680241467,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-04,50,44,197,0.88,0.06549696587301587,53.27484829365079,-0.5469103586769497,0.08554643333333332,54.277321666666666,-0.21885293229826122,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-05,50,41,98,0.82,0.09828739047619049,54.914369523809526,0.35870380480303043,0.12101821904761906,56.05091095238095,0.6897749807315166,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-08,50,44,188,0.88,0.1026070680672269,55.13035340336134,0.4780057429588088,0.10443467759103642,55.22173387955183,0.2649790940595646,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-09,50,37,143,0.74,0.0744750540903541,53.7237527045177,-0.29895126851600534,0.08066510170940172,54.03325508547009,-0.3438907356381977,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-10,50,41,145,0.82,0.06066699084249084,53.03334954212454,-0.6803058193894237,0.06621275238095238,53.31063761904762,-0.7140950471566222,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-11,50,43,159,0.86,0.1384950352813853,56.924751764069256,1.4691686144667442,0.13888663528138528,56.94433176406927,1.1474835912426502,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-12,50,36,119,0.72,0.06899128030303031,53.449564015151516,-0.45040350712592775,0.07594338636363636,53.797169318181815,-0.4648398864675457,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
