variant,variant_label,kind,rebalance_date,asset,sector,signal_source_date,raw_finance_signal_lag1,coverage_confidence_lag1,coverage_adjusted_signal_lag1,sector_signal_z,base_target_weight,pretrade_weight,target_weight,individual_cap,view_scale_annual,is_primary,turnover,transaction_cost
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,EA,Comm,2021-01-29,0.0587766666666666,0.9602076124567474,0.056437802768166,0.18075170086403194,0.033026887470848657,0.021036935393881528,0.03273555498482798,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,GE,Industrials,2021-01-29,0.1253016666666666,0.7313019390581718,0.091633351800554,0.8584050493497322,0.014841322434246122,0.0032945751031555628,0.018262666070444935,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,GILD,Healthcare,2021-01-29,-0.0261066666666666,0.6666666666666666,-0.0174044444444444,-0.6839078265912271,0.036231008473744566,0.028965195227331545,0.027118046215417906,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,GS,Financials,2021-01-29,0.100915,0.7265625,0.0733210546875,0.6099915758424609,0.015053939410621229,0.02079634893094326,0.016086645388386746,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,INTC,Tech,2021-01-29,0.105405,0.6122448979591837,0.0645336734693877,0.6557287202949342,0.01667142936601837,0.01683406544264815,0.01852778877954059,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,KO,Consumer,2021-01-29,0.1237683333333333,0.629757785467128,0.0779440715109573,0.8427858314966237,0.02273576837875249,0.04649416318811923,0.02809876334455084,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,MMM,Industrials,2021-01-29,0.1253016666666666,0.7313019390581718,0.091633351800554,0.8584050493497322,0.023116570256963717,0.008878353059016787,0.02663785437285738,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,MRK,Healthcare,2021-01-29,-0.0261066666666666,0.6666666666666666,-0.0174044444444444,-0.6839078265912271,0.02723011833454456,0.014283114271683097,0.01813311669981801,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,MS,Financials,2021-01-29,0.100915,0.7265625,0.0733210546875,0.6099915758424609,0.013281089724641247,0.01574883719798606,0.014234128007154123,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,NEE,Utilities,2021-01-29,0.11356,0.5,0.05678,0.73879919089848,0.019257376959584068,0.023467123410946502,0.021314862582548298,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,NEM,Materials,2021-01-29,0.04046,0.25,0.010115,-0.005830042837779889,0.038609011423265206,0.03229326821960346,0.03827427485084535,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,NKE,Consumer,2021-01-29,0.1237683333333333,0.629757785467128,0.0779440715109573,0.8427858314966237,0.02066281116054152,0.04694659649765694,0.026090413180546782,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
