date,sector,ticker_count,covered_tickers,headline_count,plain_sentiment_index,finance_sentiment_index,plain_sentiment_covered_only,finance_sentiment_covered_only,constituent_count,coverage_breadth,ticker_coverage_hhi,coverage_confidence,has_news,plain_sentiment_index_lag1,finance_sentiment_index_lag1,tradable_signal_available,no_news_policy
2020-01-02,Comm,5,4,11,0.08718,0.08718,0.10897499999999999,0.10897499999999999,5,0.8,0.3223140495867768,0.6776859504132232,True,,,False,all constituent ticker-days retained; no-news score = 0
2022-08-23,Industrials,5,3,3,0.10846,0.10846,0.18076666666666666,0.18076666666666666,5,0.6,0.3333333333333333,0.5,True,0.15896095238095237,0.15896095238095237,True,all constituent ticker-days retained; no-news score = 0
2022-08-23,Materials,5,3,7,0.00664,0.00664,0.011066666666666667,0.011066666666666667,5,0.6,0.3877551020408163,0.45918367346938777,True,0.05423,0.13696999999999998,True,all constituent ticker-days retained; no-news score = 0
2022-08-23,RealEstate,5,3,4,0.04019,0.04019,0.06698333333333333,0.06698333333333333,5,0.6,0.375,0.46875,True,0.24802200000000002,0.25278999999999996,True,all constituent ticker-days retained; no-news score = 0
2022-08-23,Tech,5,5,14,0.041184,0.218704,0.041184,0.218704,5,1.0,0.25510204081632654,0.9311224489795918,True,0.25741533333333333,0.2909649047619048,True,all constituent ticker-days retained; no-news score = 0
2022-08-23,Utilities,5,4,5,0.0407,0.0407,0.050875000000000004,0.050875000000000004,5,0.8,0.28,0.7199999999999999,True,0.24335333333333337,0.24335333333333337,True,all constituent ticker-days retained; no-news score = 0
2022-08-24,Comm,5,5,15,0.13018666666666664,0.13018666666666664,0.13018666666666664,0.13018666666666664,5,1.0,0.26222222222222225,0.9222222222222222,True,0.12571333333333334,0.19202,True,all constituent ticker-days retained; no-news score = 0
2022-08-24,Consumer,5,5,19,-0.04626866666666666,-0.05154066666666666,-0.04626866666666666,-0.05154066666666666,5,1.0,0.2742382271468144,0.9072022160664819,True,0.07946685714285714,0.11878828571428572,True,all constituent ticker-days retained; no-news score = 0
2022-08-24,Energy,5,5,26,0.012638,0.012638,0.012638,0.012638,5,1.0,0.26627218934911245,0.9171597633136094,True,0.1240711111111111,0.07468111111111111,True,all constituent ticker-days retained; no-news score = 0
2022-08-24,Financials,5,5,10,0.054753333333333334,0.054753333333333334,0.054753333333333334,0.054753333333333334,5,1.0,0.22000000000000003,0.975,True,0.21303200000000003,0.21303200000000003,True,all constituent ticker-days retained; no-news score = 0
2022-08-24,Healthcare,5,4,8,0.104735,0.104735,0.13091875,0.13091875,5,0.8,0.34375,0.65625,True,0.15182666666666667,0.16748,True,all constituent ticker-days retained; no-news score = 0
